anio,codigo_departamento,nombre_departamento,codigo_distrito,nombre_distrito,codigo_zona,nombre_zona,sector_o_tipo_gestion,cantidad_matriculados,anho_cod_geo
2012,10,ALTO PARANA,1011,MINGA GUAZU,6,RURAL,PRIV.SUBVENCIONADA,1276,2012
2012,10,ALTO PARANA,1011,MINGA GUAZU,6,RURAL,OFICIAL,8784,2012
2012,10,ALTO PARANA,1011,MINGA GUAZU,6,RURAL,PRIVADA,180,2012
2012,10,ALTO PARANA,1011,MINGA GUAZU,1,URBANA,OFICIAL,6056,2012
2012,10,ALTO PARANA,1011,MINGA GUAZU,1,URBANA,PRIVADA,1351,2012
2012,10,ALTO PARANA,1016,MINGA PORA,6,RURAL,OFICIAL,28,2002
2012,10,ALTO PARANA,1016,MINGA PORA,6,RURAL,OFICIAL,2751,2012
2012,10,ALTO PARANA,1016,MINGA PORA,1,URBANA,OFICIAL,810,2012
2012,10,ALTO PARANA,1014,NARANJAL,6,RURAL,OFICIAL,716,2012
2012,10,ALTO PARANA,1014,NARANJAL,1,URBANA,PRIVADA,126,2012
2012,10,ALTO PARANA,1014,NARANJAL,1,URBANA,OFICIAL,624,2012
2012,10,ALTO PARANA,1002,PRESIDENTE FRANCO,6,RURAL,PRIVADA,60,2012
2012,10,ALTO PARANA,1002,PRESIDENTE FRANCO,1,URBANA,OFICIAL,15381,2012
2012,10,ALTO PARANA,1002,PRESIDENTE FRANCO,1,URBANA,PRIV.SUBVENCIONADA,1386,2012
2012,10,ALTO PARANA,1002,PRESIDENTE FRANCO,1,URBANA,PRIVADA,2318,2012
2012,10,ALTO PARANA,1002,PRESIDENTE FRANCO,6,RURAL,OFICIAL,3483,2012
2012,10,ALTO PARANA,1018,SAN ALBERTO,1,URBANA,OFICIAL,1729,2012
2012,10,ALTO PARANA,1018,SAN ALBERTO,6,RURAL,OFICIAL,769,2012
2012,10,ALTO PARANA,1018,SAN ALBERTO,1,URBANA,PRIVADA,219,2012
2012,10,ALTO PARANA,1018,SAN ALBERTO,1,URBANA,PRIV.SUBVENCIONADA,330,2012
2012,10,ALTO PARANA,1012,SAN CRISTOBAL,6,RURAL,OFICIAL,1706,2012
2012,10,ALTO PARANA,1012,SAN CRISTOBAL,1,URBANA,OFICIAL,342,2012
2012,10,ALTO PARANA,1012,SAN CRISTOBAL,1,URBANA,PRIVADA,316,2012
2012,10,ALTO PARANA,1012,SAN CRISTOBAL,6,RURAL,PRIVADA,47,2012
2012,10,ALTO PARANA,1020,SANTA FE DEL PARANA,1,URBANA,PRIVADA,47,2012
2012,10,ALTO PARANA,1020,SANTA FE DEL PARANA,6,RURAL,OFICIAL,339,2012
2012,10,ALTO PARANA,1020,SANTA FE DEL PARANA,1,URBANA,OFICIAL,444,2012
2012,10,ALTO PARANA,1013,SANTA RITA,1,URBANA,PRIVADA,487,2012
2012,10,ALTO PARANA,1013,SANTA RITA,6,RURAL,OFICIAL,2180,2012
2012,10,ALTO PARANA,1013,SANTA RITA,6,RURAL,OFICIAL,46,2002
2012,10,ALTO PARANA,1013,SANTA RITA,1,URBANA,OFICIAL,2714,2012
2012,10,ALTO PARANA,1013,SANTA RITA,1,URBANA,PRIV.SUBVENCIONADA,990,2012
2012,10,ALTO PARANA,1015,SANTA ROSA DEL MONDAY,1,URBANA,PRIVADA,61,2012
2012,10,ALTO PARANA,1015,SANTA ROSA DEL MONDAY,1,URBANA,OFICIAL,660,2012
2012,10,ALTO PARANA,1015,SANTA ROSA DEL MONDAY,6,RURAL,OFICIAL,468,2012
2012,10,ALTO PARANA,1015,SANTA ROSA DEL MONDAY,1,URBANA,PRIV.SUBVENCIONADA,178,2012
2012,10,ALTO PARANA,1021,TAVAPY,1,URBANA,OFICIAL,695,2012
2012,10,ALTO PARANA,1021,TAVAPY,6,RURAL,OFICIAL,888,2012
2012,10,ALTO PARANA,1009,YGUAZU,6,RURAL,OFICIAL,1113,2012
2012,10,ALTO PARANA,1009,YGUAZU,1,URBANA,OFICIAL,1024,2012
2012,10,ALTO PARANA,1009,YGUAZU,6,RURAL,PRIV.SUBVENCIONADA,148,2012
2012,10,ALTO PARANA,1009,YGUAZU,6,RURAL,PRIVADA,57,2012
2012,10,ALTO PARANA,1009,YGUAZU,1,URBANA,PRIV.SUBVENCIONADA,68,2012
2012,10,ALTO PARANA,1008,СACUNDAY,1,URBANA,OFICIAL,356,2012
2012,10,ALTO PARANA,1008,СACUNDAY,6,RURAL,PRIVADA,11,2012
2012,10,ALTO PARANA,1008,СACUNDAY,6,RURAL,OFICIAL,2598,2012
2012,13,AMAMBAY,1302,BELLA VISTA,6,RURAL,OFICIAL,912,2012
2012,13,AMAMBAY,1302,BELLA VISTA,1,URBANA,PRIV.SUBVENCIONADA,414,2012
2012,13,AMAMBAY,1302,BELLA VISTA,6,RURAL,OFICIAL,26,2002
2012,13,AMAMBAY,1302,BELLA VISTA,6,RURAL,PRIVADA,27,2012
2012,13,AMAMBAY,1302,BELLA VISTA,1,URBANA,OFICIAL,1421,2012
2012,13,AMAMBAY,1303,CAPITAN BADO,1,URBANA,OFICIAL,1963,2012
2012,13,AMAMBAY,1303,CAPITAN BADO,1,URBANA,PRIVADA,187,2012
2012,13,AMAMBAY,1303,CAPITAN BADO,6,RURAL,OFICIAL,1802,2012
2012,13,AMAMBAY,1301,PEDRO JUAN CABALLERO,1,URBANA,OFICIAL,14992,2012
2012,13,AMAMBAY,1301,PEDRO JUAN CABALLERO,6,RURAL,OFICIAL,4066,2012
2012,13,AMAMBAY,1301,PEDRO JUAN CABALLERO,1,URBANA,PRIVADA,3910,2012
2012,13,AMAMBAY,1301,PEDRO JUAN CABALLERO,6,RURAL,PRIVADA,8,2012
2012,13,AMAMBAY,1301,PEDRO JUAN CABALLERO,1,URBANA,PRIV.SUBVENCIONADA,2526,2012
2012,13,AMAMBAY,1301,PEDRO JUAN CABALLERO,6,RURAL,OFICIAL,101,2002
2012,13,AMAMBAY,1304,ZANJA PYTA,1,URBANA,OFICIAL,230,2012
2012,13,AMAMBAY,1304,ZANJA PYTA,6,RURAL,OFICIAL,540,2012
2012,00,ASUNCION,0000,ASUNCION,1,URBANA,OFICIAL,72689,2012
2012,00,ASUNCION,0000,ASUNCION,1,URBANA,PRIV.SUBVENCIONADA,40944,2012
2012,00,ASUNCION,0000,ASUNCION,1,URBANA,PRIVADA,53160,2012
2012,16,BOQUERON,1601,DR. PEDRO P.PEСA,6,RURAL,OFICIAL,106,2012
2012,16,BOQUERON,1657,FERNHEIN,1,URBANA,OFICIAL,259,2012
