IDENTIFICADOR,CUENTA MAYOR,SUBCUENTA,ANALITICO,TIPO VEHICULO,MARCA,MODELO,MOTOR,CHASIS,COLOR,CHAPA,I.M.H.,LOGO,FECHA ADQUISICION,ROTULADO,CANTIDAD,VALOR UNITARIO,VALOR TOTAL,ESTADO DE CONSERVACION,OBSERVACIONES,anho
36,26103,1,2,CAMIONETA,MITSUBISHI,,4D56GR8437,DJNK340SP-05537,GRIS,EAA 898,4499,162,31/12/1995,07.22870.01.0049,1,65300000,65300000,BUENO,PROYECTO UCP-MEC/BID,2010
37,26103,1,2,CAMIONETA,MITSUBISHI,1996,4D56HH8168,DJNK340TP-03457,AZUL,EAA 907,5507,187,31/12/1996,07.22891.01.0060,1,32069392,32069392,BUENO,PROYECTO UCP-MEC/BID,1995
38,26103,1,2,CAMIONETA,VOLSWAGEN,,UG-018588,9BWZZZ23ZHP013411,BORDO,EAA 922,1520,78,31/12/1987,07.22891.01.0003,1,5000000,5000000,MALO,INSTITUTO SUPERIOR DE EDUCACION,1996
39,26103,1,2,CAMIONETA,MITSUBICHI,2008,4D56CH6810,93XGNK7408C735417,,EAE 544,811,252,28/12/2008,07-22891-01-0079,1,150000,150000,MUY BUENO,INSTITUTO SUPERIOR DE EDUCACION,1987
40,26103,1,2,CAMIONETA,MITSUBICHI,2008,4D56-CH7771,93XGNK7408C735704,,EAE 545,810,810,28/12/2008,07-22891-01-0080,1,150000000,150000000,MUY BUENO,INSTITUTO SUPERIOR DE EDUCACION,2008
41,26103,1,2,CAMIONETA,FORD,,,8AFER13P0BJ411849,BLANCOOXFORD,BGE 855,977,,23/08/2011,07.22891.03.0021,1,138500000,138500000,MUY BUENO,PRODEPA,2008
42,26103,1,2,CAMIONETA,FORD,,,8AFER13P9BJ411851,BLANCOOXFORD,EAF 805,978,,23/08/2011,07.22891.03.0022,1,138500000,138500000,MUY BUENO,PRODEPA,2011
43,26103,1,2,CAMIONETA,FORD,,,8AFER13P9BJ411848,BLANCOOXFORD,EAF 804,979,,23/08/2011,07.22891.03.0023,1,138500000,138500000,MUY BUENO,PRODEPA,2011
44,26103,1,2,CAMIONETA,FORD,,,8AFER13P7BJ411850,BLANCOOXFORD,EAF 801,,,23/08/2011,07.22891.03.0024,1,138500000,138500000,MUY BUENO,PRODEPA,2011
45,26103,1,2,CAMIONETA,DE,,HAH3507,TA3H411091011,ROJO,EAA 941,1331,57,31/12/1978,07.22891.01.0023,1,10000000,10000000,MALO,COLEGIO DE EDUCACION VOCACIONAL,1978
46,26103,1,3,MICRO,MITSUBISHI,1985,4D30-489380,BE211DL02756,ROSA,EAA931,602,95,31/12/1985,07.22981.01.0018,1,35000000,35000000,MALO,TELEEDUCACION,1985
47,26103,1,2,CAMIONETA,MITSUBISHI,1995,4D56-GP8279,DJKN340SP-03449,GRIS,EAA 921,5491,151,31/12/1995,07.22870.00.0135,1,32069392,32069392,MALO,COLEGIO TECNICO NACIONAL,1995
48,26103,1,2,CAMIONETA,FORD,1989,229-04-203479,9BFEXXL39KDB01638,,EAA 939,2692,31,31/12/1989,07.22891.01.0020,1,10000000,10000000,MALO,COLEGIO DE FORMACION LABORAL PARA PERSONAS DISCAPACITADAS ,1989
49,26103,1,3,MICRO,BUS,1980,DO-100-31251,KM640-10322,BLANCO,EAA 925,1330,32,31/12/1980,07.22891.01.0021,1,18000000,18000000,MALO,COLEGIO DE EDUCACION VOCACIONAL,1980
50,26103,1,3,MICROBUS,MITSUBICHI,1985,4D30-488991,BE211DL02762,BEIGE,EAA 908,603,94,31/12/1985,07.22891.01.0028,1,35000000,35000000,MALO,DEPARTAMENTO DE DE TRANSPORTE,1985
51,26103,1,1,AUTOMOVIL,TOYOTA,,2JZ-0254139,JZS133-0023521,NEGRO,EAA 950,2822,141,31/12/1995,07.22851.01.0027,1,96706510,96706510,BUENO,DEPARTAMENTO DE DE TRANSPORTE,1995
52,26103,1,2,CAMIONETA,TOYOTAHILUX,,2L-1213694,LN65-0041913,BLANCO,EAA 943,1463,116,31/12/1988,07.11771.00.2217,1,15000000,15000000,MALO,COLEGIO NAC DE LA CAPITAL,1988
